年份,上架时间,商品ID,商品名称（查找引用）,货号（查找引用）,产品等级,链接,直播价,运营,组别,类目名称(索引),一级类目,二级类目,叶子类目,主图,品类-公司维度划分,团购优惠金额,继承S级标注,6-8月是否同意破价,是否正常开推广,父记录,多类目上架判断,检测报告
2025,2025/09/01,972205733372,萌宠球球帽,KQ25084,清仓,https://detail.tmall.com/item.htm?id=972205733372&spm=a21dvs.23580594.0.0.37ca645eiDxllr&sku_properties=20017%3A1371780412,29.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,同意,,,,
2025,2025/09/01,972847532808,暖抱抱针织线帽,KQ25098,清仓,https://detail.tmall.com/item.htm?id=972847532808&sku_properties=20017%3A1569440088,25.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,同意,,,,
2025,2025/09/01,970950451243,小耳朵绒绒帽,KQ25093,A级,https://detail.tmall.com/item.htm?id=970950451243&spm=a21dvs.23580594.0.0.37ca645eiDxllr&sku_properties=20017%3A40444404528,"29.9
两件套：55.9",栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,不同意,,,,
2025,2025/09/01,971391770893,小动物奇遇披肩帽,KQ25085,清仓,https://detail.tmall.com/item.htm?id=971391770893&spm=a21dvs.23580594.0.0.37ca645eiDxllr&sku_properties=20017%3A1762684578,49.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,同意,,,,
2025,2025/08/28,970869453387,小小牧野者护耳帽,KQ25089,清仓,https://detail.tmall.com/item.htm?id=970869453387&spm=a21dvs.23580594.0.0.37ca645eiDxllr&sku_properties=20017%3A130511919,"29.9
两件套：49.9",洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,同意,,,,
2025,2025/08/28,970971937937,小小牧野者手套,KQ25123,清仓,https://detail.tmall.com/item.htm?id=970971937937&spm=a21dvs.23580594.0.0.37ca645eiDxllr,25.9,洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,秋冬帽,,,同意,,,,
2025,2025/08/29,970581718898,风行者骑行手套,KQ25108,清仓,https://detail.tmall.com/item.htm?id=970581718898&spm=a21dvs.23580594.0.0.37ca645eiDxllr&sku_properties=20017%3A382830719,29.9,热狗,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,秋冬帽,,,同意,,,,
2025,2025/09/05,973020514308,小山标抓绒手套,KQ25112,B级,https://detail.tmall.com/item.htm?id=973020514308&spm=a21dvs.23580594.0.0.3432645e75uMdO&sku_properties=20017%3A466012763,25.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,秋冬帽,,,不同意,,,,
2025,2025/09/02,972559045309,暖护小盔甲帽,KQ25101,A级,https://detail.tmall.com/item.htm?id=972559045309&spm=a21dvs.23580594.0.0.37ca30fcSLez9Q&sku_properties=20017%3A1500196118,"49.9
两件套：69.9",曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,不同意,,,,
2025,2025/09/02,972741997836,小暖阳护耳帽,KQ25088,清仓,https://detail.tmall.com/item.htm?id=972741997836&spm=a21dvs.23580594.0.0.40d2645e40a3bF&sku_properties=20017%3A1352104120,"29.9
两件套：49.9",桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,同意,,,,
2025,2025/09/02,972745893331,小暖阳翻盖手套,KQ25111,清仓,https://detail.tmall.com/item.htm?id=972745893331&spm=a21dvs.23580594.0.0.40d2645e40a3bF&sku_properties=20017%3A40463132985,25.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,秋冬帽,,,同意,,,,
2025,2025/09/03,971641115391,小山峦保暖围巾,KQ25090,清仓,https://detail.tmall.com/item.htm?id=971641115391&spm=a21dvs.23580594.0.0.e6ac4b51KWA3HC,25.9,热狗,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>围巾,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,围巾,image.png,秋冬帽,,,同意,,,,
2025,2025/08/29,971315885836,绒趣小动物套头帽,KQ25115,S级,https://detail.tmall.com/item.htm?abbucket=11&id=971315885836&pisk=gLys2UqoGFY6C_F-1xSeO_JyJ6HbcMWPfniYqopwDAHOlraY-KoVjGVIDyzj3xrASrwjJoVNjj7McWag2fzbmGmxkrUju55FUlqinxQrhTWzjcYI3oUsXVHdD0i2BMltLjrVpxQPztOevfbZHrJ-8oap900KXdnt6MMKm00xHjnTvMix0F3xWrEdA2mmkcnvHpEK0mitHCptp2nqVELxXK3p92mxHqUxHMGK-mHxkrHxNZtSc1ggfgpqZl7PJ7EtRKpYBtcsPxd2nKqsXfwYX2iEYJis14hCbk-QByrYQRch9BM0Y7abMzQe_VFSVyGz1a9_PPmYcmU1E3gLCowIsW-kekGj5WetOnpYfv0xaSa15C0T_yGovXKfEDzrJl2TOiYLXzusBDhFegZKMWyiZR7pCYFubAPYywRZW7iA4t9rPRLBGHGkhDgPAMODiUawm8H6hLzi6DmsTMsBWSctxDgPAMODifnnf2SCAFFc.&rn=f6d46fa0e9f0d299a0d734a1e264affe&spm=a1z10.3-b-s.w4011-2629836412.126.7668367cIU4Njp,35.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,不同意,,,,
2025,2025/09/01,971495690648,暖暖窝双面围脖,KQ25102,B级,https://detail.tmall.com/item.htm?id=971495690648&spm=a21dvs.23580594.0.0.37ca645eiDxllr&sku_properties=20017%3A73323856,29.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>围巾,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,围巾,image.png,秋冬帽,,,不同意,,,,
2025,2025/09/01,972799640955,萌萌小耳纯棉帽,KQ25105,清仓,https://detail.tmall.com/item.htm?id=972799640955&sku_properties=20017%3A1569440088&spm=a21dvs.23580594.0.0.37ca645eiDxllr,19.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,同意,,,,
2025,2025/09/02,973225032780,糖果小兜帽,KQ25092,清仓,https://detail.tmall.com/item.htm?id=973225032780&spm=a21dvs.23580594.0.0.37ca645ettKhX1&sku_properties=20017%3A57470596,19.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,同意,,,,
2025,2025/09/01,972256253767,小萌友翻盖手套,KQ25114,B级,https://detail.tmall.com/item.htm?id=972256253767&spm=a21dvs.23580594.0.0.37ca645eiDxllr,25.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,秋冬帽,,,同意,,,,
2025,2025/09/05,973586949804,造梦几何家针织护耳帽,KQ25099,清仓,https://detail.tmall.com/item.htm?id=973586949804&spm=a21dvs.23580594.0.0.3432645e75uMdO,"39.9
围巾/手套：59.9
三件套：89.9

",桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,秋冬帽,,,不同意,,,,
2025,2025/09/01,971581374246,造梦几何家翻盖手套,KQ25122,清仓,https://detail.tmall.com/item.htm?id=971581374246&spm=a21dvs.23580594.0.0.40d2645e40a3bF,29.9,洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,秋冬帽,,,不同意,,,,
2025,2025/09/09,975721412394,冬日幻想曲针织围巾,KQ25121,清仓,https://detail.tmall.com/item.htm?id=975721412394&spm=a21dvs.23580594.0.0.37ca645eazkRTz&sku_properties=20017%3A594492274,29.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>围巾,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,围巾,image.png,秋冬帽,,,同意,,,,
2025,2025/10/09,983242826281,小暖盾滑雪内搭套装（主）,KQ25119,清仓,https://detail.tmall.com/item.htm?id=983242826281&spm=a21dvs.23580594.0.0.37ca645e3J3vEx,189.9,热狗,运营一组,户外/登山/野营/旅行用品>滑雪>滑雪衣,户外/登山/野营/旅行用品,滑雪,滑雪衣,image.png,滑雪,,,同意,,,,
2025,2025/12/12,1003422816121,小暖盾滑雪内搭套装（副）,KQ25119,清仓,https://detail.tmall.com/item.htm?id=1003422816121&spm=a21dvs.23580594.0.0.78df645eJtoqd5,189.9,热狗,运营一组,童装/婴儿装/亲子装>儿童户外服>儿童运动套装,童装/婴儿装/亲子装,儿童户外服,儿童运动套装,image.png,滑雪,,,同意,,,,
2025,2025/10/14,984992406109,豆丁小雪兔滑雪服（主）,KQ25134,清仓,https://detail.tmall.com/item.htm?abbucket=11&id=984992406109&pisk=gALZ2R4NRV3a1VwI5pQ4TXdAON_OrZkWjE6fiIAc1OXMCN623QdXfhOchE72ppjD5NO6LtvW3sT6lIVVip_GDh6fCt72MLlIF4gW6CQA-YMSP4lHMq78j-qghM4h1Z5Gdg7yHCQAoxPQo0gy6deedi0Gi6cFGsEgIKjMtkfAKsqGoKXhx_f0SZbDnX7hZ_VGiPXGtkf5K52cnl0hx_C0m1b0jXRhpsbcnKjiTBXdiZXmNFAMiy55jXowH_WoCNINECXUzBLFssE9_9z4oe-FfT45Lr4D81RnMzMQzm6k2Os5Ep0Q7ZRhgpSWbYzw3IAJmM84If9kKnJc9HH40T-D13LdASqMTEWNqFjUZrOlWsvc0HHzP176Yg8wXjeHsL6wqNdbaAOF4HSRtMV4jNtWNEIkSVyRdgC2LgtZUPJl4n2AtgZDkhy00GfdTTGETkx2kv3adF40DoIhy6WS11ZYDGfdTTGEToEAx_CFFf11.&rn=947edacdcf31be94ccca2457e6023080&spm=a1z10.3-b-s.w4011-14899565465.114.731f367cVxUApB,"169.9
裤：119.9
两件套：289.9
套装+头套：329.9
套装+手套：319.9
套装+头套+手套：369.9
五件套：529.9",栗子,运营二组,户外/登山/野营/旅行用品>滑雪>滑雪衣,户外/登山/野营/旅行用品,滑雪,滑雪衣,image.png,滑雪,,,不同意,,,,
2025,2025/12/13,1003645836889,豆丁小雪兔滑雪服（副）,KQ25134,清仓,https://detail.tmall.com/item.htm?abbucket=11&id=1003645836889&pisk=gUN-qw2aJijuCLtyykXcxQXNLS_Dpt4yMuz6tDmkdoEYVoPoqDDH9BnY5Ybzxk2xvoZxVQbPUviL4mqHtzVL3BUa87brtalzzXlCjGfgvzzrTozcUFNJGsg_lLTSRtcby9BIDGfGsrBSzX4fj8xII_VESBGIF09jGmuKALOQAxOj8mOSRQGIcZ3EcXgIPBtXG2uZP3i7Ajaj82JBO4OIcKgrPUGIOkafk2ojPXGQAr_x8bZPvmTSxBeuFiCl_dE2OBNxyx60Pm1b8Sg-FcU7wBOB84H-fziAX2YFrxaEpW8e9vU7Qku_V3sKYSUbNRZ1mLm7B2Ugpz1WGbVzPRMQ1MJQrbm-G7w9RBaxwmH39x-RDcNzl5ljn1_TlSruzSUHR6g0jmazNXC17bhSVj34tiRSv-wQZYleVMnUMrN7pgkas5CXehmt-L_AkpJEFql2EnaS_0-A7qnGy6peLx7qkcbAkpJEFquxjaQpLpkVu&rn=ab6824091f92f438268cf748dfa8f685&spm=a1z10.3-b-s.w4011-14899565465.108.731f367cN3dQVx,"169.9
裤：119.9
两件套：289.9
套装+头套：329.9
套装+手套：319.9
套装+头套+手套：369.9
五件套：529.9",栗子,运营二组,童装/婴儿装/亲子装>儿童户外服>儿童滑雪服,童装/婴儿装/亲子装,儿童户外服,儿童滑雪服,image.png,滑雪,,,不同意,,,滑雪衣,
2025,2025/10/18,987211065689,豆丁小雪兔滑雪头套,KQ25137,清仓,https://detail.tmall.com/item.htm?id=987211065689&spm=a21dvs.23580594.0.0.3cf2645eRzBiU9&sku_properties=20017%3A1762684578%3B20509%3A3339926056,59.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,滑雪,,,不同意,,,,
2025,2025/10/11,984152702882,豆丁小雪兔滑雪手套,KQ25128,清仓,https://detail.tmall.com/item.htm?id=984152702882&spm=a21dvs.23580594.0.0.37ca645ehzXv7P,49.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,滑雪,,,不同意,,,,
2025,2025/10/18,985917883220,豆丁小雪兔滑雪镜,KQ25117,清仓,https://detail.tmall.com/item.htm?id=985917883220&sku_properties=370514184%3A40984831541&spm=a21dvs.23580594.0.0.3cf2645eRzBiU9,169.9,栗子,运营二组,户外/登山/野营/旅行用品>滑雪>滑雪眼镜,户外/登山/野营/旅行用品,滑雪,滑雪眼镜,image.png,滑雪,,,不同意,,,,
2025,2025/10/11,983514459733,极光小雪豹滑雪服（主）,KQ25130,B级,https://detail.tmall.com/item.htm?id=983514459733&spm=a21dvs.23580594.0.0.37ca645ehzXv7P,"279.9
裤：199.9
两件套：439.9
套装+头套：509.9
套装+手套：549.9
套装+头套+滑雪镜：659.9
五件套：699.9",洋葱,运营一组,户外/登山/野营/旅行用品>滑雪>滑雪衣,户外/登山/野营/旅行用品,滑雪,滑雪衣,image.png,滑雪,,,不同意,,,,
2025,2025/11/27,998275841554,极光小雪豹滑雪服（副）,KQ25130,B级,https://detail.tmall.com/item.htm?id=998275841554&spm=a21dvs.23580594.0.0.11454b51uMsPRJ,"279.9
裤：199.9
两件套：439.9
套装+头套：509.9
套装+手套：549.9
套装+头套+滑雪镜：659.9
五件套：699.9",洋葱,运营一组,童装/婴儿装/亲子装>儿童户外服>儿童滑雪服,童装/婴儿装/亲子装,儿童户外服,儿童滑雪服,image.png,滑雪,,,不同意,,,滑雪衣,
2025,2025/10/09,982711447460,极光小雪豹滑雪手套,KQ25127,B级,https://detail.tmall.com/item.htm?id=982711447460&spm=a21dvs.23580594.0.0.37ca645ehzXv7P,49.9,洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,滑雪,,,不同意,,,,
2025,2025/10/10,984291633875,极光小雪豹滑雪头套,KQ25118,B级,https://detail.tmall.com/item.htm?id=984291633875&spm=a21dvs.23580594.0.0.37ca645ehzXv7P&sku_properties=20017%3A1762684578%3B20509%3A40891568397,59.9,洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,滑雪,,,不同意,,,,
2025,2025/10/10,983541234393,萌萌小企鹅滑雪服,KQ25132,B级,https://detail.tmall.com/item.htm?id=983541234393&spm=a21dvs.23580594.0.0.37ca645eLXqNXY,"269.9
裤：189.9
两件套：439.9
套装+头套：469.9
套装+手套：479.9
套装+滑雪镜：609.9
五件套：689.9",桃酥,运营三组,童装/婴儿装/亲子装>儿童户外服>儿童滑雪服,童装/婴儿装/亲子装,儿童户外服,儿童滑雪服,image.png,滑雪,,,不同意,,,滑雪衣,
2025,2025/12/30,1006991635730,萌萌小企鹅滑雪裤,KQ25133,B级,https://detail.tmall.com/item.htm?id=1006991635730&spm=a21dvs.23580594.0.0.6e8a645eI6j7kl,189.9,桃酥,运营三组,童装/婴儿装/亲子装>儿童户外服>儿童滑雪裤,童装/婴儿装/亲子装,儿童户外服,儿童滑雪裤,image.png,滑雪,,,不同意,,,,
2025,2025/10/10,982926951671,萌萌小企鹅滑雪手套,KQ25126,B级,https://detail.tmall.com/item.htm?abbucket=11&id=982926951671&pisk=gYPI2CamFHxCwXyxdb7wCAfq1Hl7PN5VRUg8ozdeyXhdVuZ8jQuP-w2sylrSabzRxuNSXz2F-YSHPRZ3kvr7rw0-2uES4JWNgy4nZbIqNs54-jDhWSEBpD3OyqgWwNkK_YzP6bIV0_9wWvjEwuzZ3zZ9BqmtJB3KyNGtrqg-wY3LWNg-zHn-vuUO5c0yephJw1ntoqKKwpd-B13SuepKp4Kt6c0-w0E-wNGtj4h-2uh-wpYjP9i3RZHW9lpJihaIfQd81VIoDyGmSVNsrvnxBcO-75gIdmUL9-xB_VFa1xkwzGlToRrK5j1Bm2wTlX37ZZpSVYNn1cZfMQ0gpkNtF57lMPlIPxh-CUd85fiiCWlAMhggByy8tkTWw2VUgYimCadoUfFqH-EBrZ4t94Eon7SDtDU8oS2qG6tmRRUj1gzpgm642LTsnQgs0N_6ELxuNo7qOQO4xv3iRA715HeopV0s0N_6ELDKS2iN5NtLE&rn=3fee61ef64647e78d3c6c3a8d11306a4&spm=a1z10.3-b-s.w4011-14899565465.122.33f4367c3oEmXe,39.9,曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套,image.png,滑雪,,,不同意,,,,
2025,2025/10/09,983247530215,萌萌小企鹅滑雪头套,KQ25136,B级,https://detail.tmall.com/item.htm?id=983247530215&spm=a21dvs.23580594.0.0.37ca645eLXqNXY,49.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,滑雪,,,不同意,,,,
2025,2025/03/11,897109286091,条条日记分体泳衣（主）,KQ25047,A级,https://detail.tmall.com/item.htm?abbucket=5&id=897109286091&pisk=gEaZcRTZRNQwK4Mtjyg2YJzpm70t5qW7jrMjiSVm1ADgCVM437FbflNmhru4pJm05VN_Lx273ja_lSAqiJgiDlMjCxu4M85CFa_7653x-T65PG33UqgJoncDhHDngqlid0uzH53xotRBog_z68xDpm-miXfEGjhMI-mgtXcsKjxio-DnxbcDSq20n2vnZjKDSEYM-vDKsCvijqbnxfhSnCmgnWfEMvDmoc20tbXYsSYENcf29dO_5Ns-fYViLEYywfoGC5-XuElSscz0svlIOylZbYmF1WOUSJN05PndxHuYOuy4m8XBfAqraJo7bT8aURh0gj2NyQk37SzEXkOJrWoqQk4iYIY0_2HmVoyNQhHgfJo-tDAVyXwSK5UgYsp3s8MZSXmCr_Pnmkat2P6H74q81VZ0E9tsIulc4wvxt2tLklJD0ccKTY1FTUPe98QwdPYDDnnnyXk51ftvDccKTY1FTnKxxbhEF1G1.&rn=1a5ea6aada4d24d6d52f37b0cce74d0c&spm=a1z10.3-b-s.w4011-2629836412.107.ca4f367cNmFqwW,"65.9
泳衣+泳镜：85.9
泳衣+泳包：110.9
三件套：145.9",曲奇,运营三组,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤,image.png,泳衣,,,不同意,,,儿童泳衣/裤,
2025,2025/06/14,939644269502,条条日记分体泳衣（副）,KQ25047,A级,https://detail.tmall.com/item.htm?id=939644269502&spm=a21dvs.23580594.0.0.47f94b515Hw8k6,"65.9
泳衣+泳镜：85.9
泳衣+泳包：110.9
三件套：145.9",曲奇,运营三组,运动/瑜伽/健身/球迷用品>游泳>儿童泳衣/裤,运动/瑜伽/健身/球迷用品,游泳,儿童泳衣/裤,image.png,泳衣,,,不同意,,,,
2025,2025/03/12,898439684957,椰椰小岛两栖泳衣（主）,KQ25051,S级,https://detail.tmall.com/item.htm?id=898439684957&spm=a21dvs.23580594.0.0.3f544b51SnQrpk,"89.9
泳衣+泳镜：109.9
泳衣+泳包：149.9
三件套：169.9",洋葱,运营一组,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤,image.png,泳衣,5,继承,不同意,,,儿童泳衣/裤,
2025,2025/05/30,931630978007,椰椰小岛两栖泳衣（副）,KQ25051,S级,https://detail.tmall.com/item.htm?id=931630978007&spm=a21dvs.23580594.0.0.47f94b515Hw8k6,"89.9
泳衣+泳镜：109.9
泳衣+泳包：149.9
三件套：169.9",洋葱,运营一组,运动/瑜伽/健身/球迷用品>游泳>儿童泳衣/裤,运动/瑜伽/健身/球迷用品,游泳,儿童泳衣/裤,image.png,泳衣,,继承,不同意,,,,
2025,2025/03/14,898177055176,萌萌假日分体泳衣,KQ25048,清仓,https://detail.tmall.com/item.htm?id=898177055176,"69.9
泳衣+泳镜：89.9
泳衣+泳包：114.9
三件套：149.9",洋葱,运营一组,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤,image.png,泳衣,,,同意,,,儿童泳衣/裤,
2025,2025/03/31,903793111496,潮汐岛大框软软泳镜,KQ25062,S级,https://detail.tmall.com/item.htm?id=903793111496&spm=a21dvs.23580594.0.0.621e2c1buXuCvu,49.9,洋葱,运营一组,玩具/童车/益智/早教/游乐设备>游泳池/戏水玩具>泳镜,玩具/童车/益智/早教/游乐设备,游泳池/戏水玩具,泳镜,image.png,泳镜,,,同意,,,泳镜,
2024,2024/03/25,777118027333,抽象艺术小护盾泳衣,KQ24034,清仓,https://detail.tmall.com/item.htm?id=777118027333&spm=a21dov.b63576985.0.0.3a024b519lSIGa,"54.9
泳衣+泳镜：74.9
泳衣+泳包：99.9",栗子,运营二组,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤,image.png,泳衣,,,同意,,,儿童泳衣/裤,
2024,2024/03/27,777839886491,夏日冰宠小护盾泳衣,KQ24032,A级,https://detail.tmall.com/item.htm?id=777839886491&skuId=5318544761046&spm=a21dvs.23580594.0.0.47fd645eLxT3pA,"69.9
组合：95.9",热狗,运营一组,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤,image.png,泳衣,,,不同意,,,儿童泳衣/裤,
2024,2024/04/03,779790014482,童话小护盾泳衣,KQ24044,清仓,https://detail.tmall.com/item.htm?id=779790014482&spm=a21dvs.23580594.0.0.621e3d0dI80IyH,"59.9
组合：79.9",栗子,运营二组,运动/瑜伽/健身/球迷用品>游泳>儿童泳衣/裤,运动/瑜伽/健身/球迷用品,游泳,儿童泳衣/裤,image.png,泳衣,,,同意,,,,
2024,2024/04/10,782350967265,小果冻硅胶泳帽,KQ24043,清仓,https://detail.tmall.com/item.htm?id=782350967265&spm=a21dvs.23580594.0.0.621e3d0dVbaBFZ,"29.9
成人：35.9",热狗,运营一组,运动/瑜伽/健身/球迷用品>游泳>泳帽,运动/瑜伽/健身/球迷用品,游泳,泳帽,image.png,泳具-其他,,,同意,,,,
2024,2024/04/01,779208539501,南瓜游记小护盾泳衣（主）,KQ24039,清仓,https://detail.tmall.com/item.htm?id=779208539501&spm=a211lz.success.0.0.38ce2b907AXBG4,"45.9
组合：100.9",曲奇,运营三组,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤,image.png,泳衣,,,同意,,,儿童泳衣/裤,
2024,2025/05/29,930852275312,南瓜游记小护盾泳衣（副）,KQ24039,清仓,https://detail.tmall.com/item.htm?id=930852275312&spm=a21dvs.23580594.0.0.5f7f645efXpT14,45.9,曲奇,运营三组,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤,image.png,泳衣,,,同意,,,儿童泳衣/裤,
2024,2024/04/11,782639911593,伦敦海港条纹泳帽,KQ24046,清仓,https://detail.tmall.com/item.htm?id=782639911593,49.9,虾滑,运营二组,童装/婴儿装/亲子装>儿童泳装>泳帽,童装/婴儿装/亲子装,儿童泳装,泳帽,image.png,泳具-其他,,,不同意,,,,
2024,2024/05/05,792264759387,几何帆船沙滩鞋,KQ24057,清仓,https://detail.tmall.com/item.htm?id=792264759387&spm=a21dvs.23580594.0.0.1d293d0dJeKMTe,59.9,热狗,运营一组,户外/登山/野营/旅行用品>户外鞋靴>沙滩鞋/凉鞋/拖鞋,户外/登山/野营/旅行用品,户外鞋靴,沙滩鞋/凉鞋/拖鞋,image.png,溯溪鞋,,,同意,,,运动沙滩鞋/凉鞋,
2024,2024/05/09,794080147554,伦敦海港条纹泳包,KQ24061,清仓,https://detail.tmall.com/item.htm?abbucket=2&id=794080147554&rn=2d90dc9daab7b3db99bdac0b1048300c&spm=a1z10.3-b-s.w4011-14899565465.91.4263367c8plUKg,59.9,栗子,运营二组,运动/瑜伽/健身/球迷用品>游泳>游泳专用包,运动/瑜伽/健身/球迷用品,游泳,游泳专用包,image.png,泳具-其他,,,同意,,,,
2024,2024/04/07,781195170389,梦幻岛小护盾泳衣,KQ24040,清仓,https://detail.tmall.com/item.htm?id=781195170389,69.9,虾滑,运营二组,运动/瑜伽/健身/球迷用品>游泳>儿童泳衣/裤,运动/瑜伽/健身/球迷用品,游泳,儿童泳衣/裤,image.png,泳衣,,,同意,,,,
2024,2024/04/09,782150302294,苹果岛屿亲子小护盾泳衣,KQ24033,清仓,https://detail.tmall.com/item.htm?id=782150302294,"65.9
成人：75.9",虾滑,运营二组,运动/瑜伽/健身/球迷用品>游泳>儿童泳衣/裤,运动/瑜伽/健身/球迷用品,游泳,儿童泳衣/裤,image.png,泳衣,,,同意,,,,
2024,2024/04/28,789399636938,几何帆船泳包,KQ24056,清仓,https://detail.tmall.com/item.htm?id=789399636938&spm=a211lz.success.0.0.5ad82b90lf7nGU,59.9,热狗,运营一组,运动/瑜伽/健身/球迷用品>游泳>游泳专用包,运动/瑜伽/健身/球迷用品,游泳,游泳专用包,image.png,泳具-其他,,,同意,,,,
